adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/ikN8ABD9pXHuW4JFqTEHr3ae8rd.jpg,"[18, 9648, 10765]",106651,['KR'],ko,지옥,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",6.4161,/5NYdSAnDVIXePrSG2dznHdiibMk.jpg,2021-11-19,Hellbound,7.361,922
False,/ggOukDTllje9G36qKuXJtzMcRRT.jpg,"[18, 9648]",131305,['KR'],ko,셀러브리티,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.,6.6217,/bYhzribGfkw6eeKkicJHx7U3Bwy.jpg,2023-06-30,Celebrity,7.709,129
False,/f7eVGWyugsuK5crINdjnMGsntOb.jpg,"[35, 9648, 10765, 18]",75123,['KR'],ko,화유기,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,6.3212,/uJfF9m2bDXZf6Lng8kkyd0o0Qjz.jpg,2017-12-23,A Korean Odyssey,8.01,291
False,/56YHtJezhk6y7SczrYz6pmmf9oU.jpg,"[35, 9648]",78798,['KR'],ko,범인은 바로 너!,"Suspense, surprises and fun abound in this Korean variety game show featuring big personalities and even bigger mysteries in every episode.",6.3125,/6oTuXYHY6sqgy3haRh04GixUr7f.jpg,2018-05-04,Busted!,7.9,36
False,/o25js6DbhDa9KtMKUiGOEPVSnaP.jpg,"[10765, 10759, 18]",208825,['KR'],ko,기생수: 더 그레이,"When unidentified parasites violently take over human hosts and gain power, humanity must rise to combat the growing threat.",6.0679,/9UPneQ4NF7g6WDNSFE5qyt88wJn.jpg,2024-04-05,Parasyte: The Grey,7.565,231
False,/ap6Hg7roMXPBewSBaeJEQNG5sIq.jpg,[10764],256355,['KR'],ko,대환장 기안장,"On a remote island, Kian84 hosts a quirky B&B escape, where BTS' Jin and Ji Ye-eun lead guests through playful exploits and delightful chaos.",5.7936,/qZjXUzpzdKjc0qzQwdwpXGOrR2F.jpg,2025-04-08,Kian's Bizarre B&B,7.0,1
False,/k7if58AYhpJcTBfM5x3D056JNmC.jpg,"[35, 10765, 9648, 18]",88328,['KR'],ko,어비스,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",5.9729,/ttcqbLutnHABQwDiW1k7dxnsJLV.jpg,2019-05-06,Abyss,8.13,184
False,/34Gl5oc5Z42DxlIomvXKHMFupYZ.jpg,"[35, 18]",85220,['KR'],ko,로맨스는 별책부록,A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.,6.0147,/3cbvygVSgmxN2r4f3nKE7uAv4Vg.jpg,2019-01-26,Romance Is a Bonus Book,7.5280000000000005,88
False,/lcTuggU70y6pt6x13Rv1Ffjs93K.jpg,"[10759, 80, 18, 9648]",112836,['KR'],ko,종이의 집: 공동경제구역,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",6.1793,/bnfTPTTytrZZ9Aw6hoOQdojiaKo.jpg,2022-06-24,Money Heist: Korea - Joint Economic Area,7.7620000000000005,677
False,/bG6eCywmJT81OjhBG4qj9M2ErnY.jpg,[18],226527,['KR'],ko,하이라키,"The top 0.01% of students control law and order at Jooshin High School, but a secretive transfer student chips a crack in their indomitable world.",6.2553,/szr7QFNnuspcyhW0rsoDMDN73pP.jpg,2024-06-07,Hierarchy,7.7,138
